age,annual_income,employment_years,loan_amount,credit_score,existing_debt,num_open_accounts,previous_defaults,loan_purpose,debt_to_income,loan_to_income,risk_category
42,58616.73,6.1,9489.59,748,1656.66,5,0,debt_consolidation,0.0283,0.1619,Low
32,36357.52,4.6,19278.86,673,43224.5,8,0,home_improvement,1.1888,0.5302,High
23,39861.38,2.4,28989.43,719,1951.68,14,0,debt_consolidation,0.049,0.7272,Medium
42,22952.59,14.1,6928.78,640,2341.33,11,0,debt_consolidation,0.102,0.3019,Medium
64,33320.36,3.6,10782.97,705,1743.87,14,0,home_improvement,0.0523,0.3236,Medium
22,37693.85,17.5,26575.49,672,14503.36,8,1,education,0.3848,0.705,Medium
44,57319.99,4.1,8070.61,590,2028.99,6,0,debt_consolidation,0.0354,0.1408,Low
54,66027.58,7.9,8706.13,708,3681.75,12,0,business,0.0558,0.1319,Low
47,36171.76,6.8,3458.38,733,7170.99,2,0,home_improvement,0.1982,0.0956,Low
61,45151.45,5.4,21189.26,518,905.26,11,0,business,0.02,0.4693,Medium
21,113913.27,0.1,15083.39,511,2358.76,8,0,business,0.0207,0.1324,Low
28,52341.99,0.4,10932.85,669,2688.1,12,0,debt_consolidation,0.0514,0.2089,Low
43,37479.66,4.4,5098.28,682,11810.78,12,0,business,0.3151,0.136,High
58,21166.51,12.1,10876.31,577,4315.77,11,0,other,0.2039,0.5138,Medium
26,31985.53,4.6,4214.71,673,3473.61,9,0,home_improvement,0.1086,0.1318,Medium
42,31368.68,1.3,12025.54,642,11576.55,6,1,other,0.369,0.3833,High
45,131786.29,1.9,42295.67,487,3334.01,14,0,other,0.0253,0.3209,Low
38,32073.05,4.9,15028.78,664,14112.58,3,0,business,0.44,0.4686,Medium
37,50287.99,4.5,27986.04,572,42125.72,0,0,business,0.8377,0.5565,High
32,59005.08,15.6,29238.1,696,13631.03,9,0,education,0.231,0.4955,Low
26,85243.1,3.8,9731.12,610,25349.41,11,0,education,0.2974,0.1142,Low
46,49217.87,2.2,19362.27,678,8170.71,5,1,business,0.166,0.3934,Medium
47,37981.05,3.7,2595.17,744,6177.14,11,0,debt_consolidation,0.1626,0.0683,Low
28,36744.06,7.7,15815.35,617,4862.93,11,0,education,0.1323,0.4304,Medium
39,58582.42,3.9,25473.46,640,11528.85,5,0,medical,0.1968,0.4348,Low
62,34815.93,2.0,18278.12,750,1782.77,5,0,debt_consolidation,0.0512,0.525,Low
21,28223.48,2.1,10772.75,695,11846.62,10,0,debt_consolidation,0.4197,0.3817,Medium
49,37977.45,7.1,28379.38,644,3611.4,13,0,medical,0.0951,0.7472,Medium
55,25279.72,0.3,26433.68,768,8370.21,14,0,business,0.3311,1.0456,Medium
60,123662.12,1.6,12970.86,633,5764.11,3,0,debt_consolidation,0.0466,0.1049,Medium
34,66057.2,0.8,32678.4,632,8775.02,8,0,business,0.1328,0.4947,High
55,110240.75,14.5,18230.24,578,9425.01,4,0,business,0.0855,0.1654,Medium
40,62487.26,0.5,5085.31,695,6270.37,0,0,debt_consolidation,0.1003,0.0814,Low
33,105061.01,7.1,16189.68,567,5983.59,3,0,debt_consolidation,0.057,0.1541,Low
58,58908.01,5.0,8689.7,758,3421.28,9,0,business,0.0581,0.1475,Low
28,70480.45,5.0,18000.87,605,5158.35,10,0,home_improvement,0.0732,0.2554,Low
63,16867.44,7.2,1506.89,687,2659.97,2,0,debt_consolidation,0.1577,0.0893,Low
40,31033.89,2.6,34769.05,653,1973.89,13,0,business,0.0636,1.1203,Medium
53,49934.32,2.6,26109.87,691,1362.1,10,0,debt_consolidation,0.0273,0.5229,Medium
46,50543.71,1.7,34684.16,682,9117.6,7,0,debt_consolidation,0.1804,0.6862,High
59,47183.97,4.6,13278.05,657,2164.59,5,1,debt_consolidation,0.0459,0.2814,Low
41,61481.87,13.3,26734.33,621,7842.79,9,0,education,0.1276,0.4348,Low
62,62761.77,12.9,15167.96,671,5293.69,9,0,other,0.0843,0.2417,Low
63,75550.6,6.1,7404.1,750,1886.37,6,1,debt_consolidation,0.025,0.098,High
61,68493.68,11.8,8210.76,626,1327.86,9,0,home_improvement,0.0194,0.1199,Low
29,89504.46,16.6,10860.44,560,6623.63,1,0,debt_consolidation,0.074,0.1213,High
44,89869.76,7.9,28284.06,702,2007.8,0,0,business,0.0223,0.3147,Low
57,53494.4,2.6,27717.49,671,6077.45,12,0,home_improvement,0.1136,0.5181,Low
61,138804.87,3.3,9062.57,758,7601.1,1,0,business,0.0548,0.0653,Low
37,96728.68,13.4,20549.08,694,2067.35,5,0,medical,0.0214,0.2124,Low
44,32745.62,5.5,13490.54,750,1636.1,12,0,business,0.05,0.412,Low
41,59653.12,8.6,7580.37,789,4231.28,11,1,business,0.0709,0.1271,Low
59,19510.17,0.6,6574.98,627,3849.17,4,0,debt_consolidation,0.1973,0.337,Medium
61,21224.28,1.1,11630.08,642,2760.7,7,0,home_improvement,0.1301,0.5479,High
59,38187.09,2.1,23388.22,738,964.91,3,0,business,0.0253,0.6124,Low
33,31643.17,1.0,9855.94,656,11018.64,2,0,education,0.3482,0.3115,Medium
31,38304.72,11.8,21463.16,618,4560.08,3,0,debt_consolidation,0.119,0.5603,Low
39,57771.27,1.2,16092.12,629,7771.64,14,0,education,0.1345,0.2785,High
31,90458.38,4.1,5000.3,600,4673.81,8,0,debt_consolidation,0.0517,0.0553,Low
33,88069.01,0.4,44567.64,489,9994.85,11,0,education,0.1135,0.506,High
21,60270.43,0.8,27363.39,702,4004.44,7,0,debt_consolidation,0.0664,0.454,Low
60,28465.28,1.4,5738.2,592,3775.77,10,0,business,0.1326,0.2016,Medium
64,37097.54,20.3,16976.08,534,2472.04,14,0,debt_consolidation,0.0666,0.4576,Medium
39,67412.9,8.0,32388.54,720,6061.61,7,0,other,0.0899,0.4804,Low
32,32433.33,5.6,17090.9,535,3652.39,10,1,education,0.1126,0.5269,High
28,26017.94,12.4,10417.19,740,3260.48,5,0,debt_consolidation,0.1253,0.4004,Low
28,62702.62,15.6,12410.29,703,1260.91,12,0,medical,0.0201,0.1979,Low
32,47849.63,3.0,11491.02,686,3510.76,14,0,other,0.0734,0.2401,High
53,44114.35,2.0,12272.1,556,6778.42,4,0,business,0.1537,0.2782,Medium
46,85382.89,1.9,26229.51,504,4415.04,13,0,home_improvement,0.0517,0.3072,Medium
59,84491.32,0.2,17740.26,592,7723.67,10,1,debt_consolidation,0.0914,0.21,Medium
48,119438.75,1.6,7959.85,447,2145.73,7,0,business,0.018,0.0666,Medium
25,35393.88,2.2,11345.83,463,3119.66,11,0,debt_consolidation,0.0881,0.3206,High
28,60770.93,0.2,10530.85,718,6683.87,13,0,medical,0.11,0.1733,Medium
45,49488.93,10.7,15892.33,811,4813.7,3,0,debt_consolidation,0.0973,0.3211,Low
47,58055.69,9.4,6835.12,660,446.09,9,0,debt_consolidation,0.0077,0.1177,Medium
43,27800.5,1.4,5409.48,653,3127.8,14,0,other,0.1125,0.1946,Low
50,24312.92,8.1,7656.14,602,2049.08,5,0,home_improvement,0.0843,0.3149,High
43,48044.93,8.0,5238.83,722,4317.49,8,0,education,0.0899,0.109,Low
40,32168.52,2.0,5343.01,526,414.76,11,0,debt_consolidation,0.0129,0.1661,Medium
38,78362.74,6.0,27851.65,665,5781.29,13,0,debt_consolidation,0.0738,0.3554,Medium
38,23147.95,1.7,12367.63,797,8355.7,13,0,home_improvement,0.361,0.5343,Low
22,24122.48,0.4,16699.48,663,3001.16,2,0,medical,0.1244,0.6923,Medium
24,39801.85,3.5,13856.08,627,3940.69,8,1,business,0.099,0.3481,High
50,22719.13,2.9,14329.59,773,2771.01,12,0,business,0.122,0.6307,Low
53,113323.47,0.7,15980.34,803,17452.86,10,0,home_improvement,0.154,0.141,Low
56,44736.33,3.4,19007.17,770,14191.3,7,0,debt_consolidation,0.3172,0.4249,Low
38,36264.68,14.9,16673.3,643,12327.86,2,1,education,0.3399,0.4598,Medium
57,61943.75,6.6,71184.29,718,22422.2,6,0,debt_consolidation,0.362,1.1492,Medium
39,76261.56,6.7,7221.63,772,13977.5,4,0,other,0.1833,0.0947,Low
48,54365.2,7.1,7072.72,611,3218.48,6,1,education,0.0592,0.1301,Low
60,47379.94,6.8,9621.45,580,5362.98,3,0,home_improvement,0.1132,0.2031,Low
40,29979.33,0.1,6040.25,684,7641.35,14,0,medical,0.2549,0.2015,Medium
53,67201.76,12.9,11238.2,569,6349.28,12,0,home_improvement,0.0945,0.1672,Medium
32,99543.65,8.9,7525.68,554,1535.86,2,0,home_improvement,0.0154,0.0756,Medium
35,43920.66,1.6,14028.91,605,8419.81,6,0,home_improvement,0.1917,0.3194,High
61,32067.79,4.0,13961.4,582,7459.72,11,0,home_improvement,0.2326,0.4354,Medium
59,53677.43,4.8,6105.96,572,7831.24,13,0,medical,0.1459,0.1138,Medium
22,49085.79,0.7,21159.81,662,6376.53,5,1,debt_consolidation,0.1299,0.4311,High
49,26684.12,1.5,8256.07,673,4870.86,4,0,business,0.1825,0.3094,Medium
61,38126.15,0.1,7610.3,540,8165.85,3,0,debt_consolidation,0.2142,0.1996,High
30,119879.56,10.0,17389.28,681,970.55,5,1,other,0.0081,0.1451,High
22,24989.79,0.1,13360.02,665,7398.26,14,0,debt_consolidation,0.296,0.5346,High
31,34706.76,1.9,13370.16,569,11179.16,0,0,medical,0.3221,0.3852,High
33,30504.92,0.4,7364.09,652,19247.35,14,0,debt_consolidation,0.6309,0.2414,Medium
30,31883.7,7.6,6851.09,672,7655.35,11,1,home_improvement,0.2401,0.2149,High
34,39232.54,13.0,21558.66,679,2362.37,7,0,debt_consolidation,0.0602,0.5495,Low
38,61340.22,4.1,12781.47,721,3266.46,13,0,education,0.0533,0.2084,Low
29,94304.22,0.8,15328.76,715,7264.02,5,0,education,0.077,0.1625,Medium
59,54266.41,4.1,14640.63,654,6945.12,13,0,debt_consolidation,0.128,0.2698,Medium
48,34815.19,7.4,20062.36,579,2132.71,10,0,medical,0.0613,0.5762,Medium
23,105868.98,6.3,12907.01,612,5532.26,4,0,medical,0.0523,0.1219,Low
40,17425.99,6.8,11624.1,667,4243.99,7,0,debt_consolidation,0.2435,0.667,Medium
26,68647.44,1.6,20543.12,753,3910.45,3,0,debt_consolidation,0.057,0.2993,Low
47,29337.47,0.4,51062.24,466,5270.56,14,1,debt_consolidation,0.1796,1.7405,High
22,47788.41,0.8,6340.82,658,5145.43,1,0,debt_consolidation,0.1077,0.1327,Low
49,64961.49,15.6,9612.47,638,17203.93,4,0,other,0.2648,0.148,Medium
58,21967.34,4.8,15927.18,672,1010.82,6,0,debt_consolidation,0.046,0.725,High
23,52618.7,6.5,3620.67,540,4758.46,4,0,other,0.0904,0.0688,Medium
36,54679.19,11.5,26009.64,723,4925.12,6,0,home_improvement,0.0901,0.4757,High
50,101841.08,9.6,21524.75,648,1137.17,1,0,education,0.0112,0.2114,Low
60,190531.85,1.2,13602.81,629,8630.37,11,0,business,0.0453,0.0714,Low
22,22550.56,0.3,17673.51,682,9690.06,0,0,debt_consolidation,0.4297,0.7837,Medium
37,99566.08,13.0,32995.08,676,1387.18,2,0,medical,0.0139,0.3314,Low
61,48101.08,20.0,15891.12,652,9268.4,0,0,debt_consolidation,0.1927,0.3304,Low
32,32719.1,4.2,6253.62,606,2481.93,2,0,debt_consolidation,0.0759,0.1911,Medium
55,58954.82,11.0,23771.89,633,6575.11,2,0,home_improvement,0.1115,0.4032,Medium
63,25561.8,1.3,23292.32,652,5860.96,7,0,home_improvement,0.2293,0.9112,Low
21,26336.04,0.6,15137.73,796,5959.59,4,0,education,0.2263,0.5748,Low
35,20587.12,3.5,64153.57,659,893.51,2,0,debt_consolidation,0.0434,3.116,High
46,64411.31,8.3,12545.08,703,1283.26,4,0,education,0.0199,0.1948,Low
57,57728.48,5.3,4552.69,719,5850.78,7,0,business,0.1013,0.0789,Low
41,32624.15,5.1,15609.94,652,7510.01,9,0,home_improvement,0.2302,0.4785,Low
51,105008.95,0.1,14589.68,760,2348.33,14,0,home_improvement,0.0224,0.1389,Low
45,35190.17,1.9,50819.67,515,14739.82,10,0,debt_consolidation,0.4188,1.4441,High
43,93106.08,14.0,16548.4,675,2949.03,9,0,home_improvement,0.0317,0.1777,Medium
44,52106.26,0.7,11558.88,739,3729.47,0,0,business,0.0716,0.2218,Low
58,34954.97,6.5,6290.72,691,4316.66,6,0,business,0.1235,0.18,Low
48,46282.04,7.1,39525.19,507,5962.0,12,0,debt_consolidation,0.1288,0.854,High
41,26189.89,6.6,3398.75,673,4535.14,4,0,education,0.1732,0.1298,Medium
63,54631.54,22.7,17704.63,647,3857.59,3,0,home_improvement,0.0706,0.3241,Low
38,49775.34,2.6,4001.79,655,4538.1,2,1,home_improvement,0.0912,0.0804,Medium
56,63813.74,5.7,11214.16,625,5912.57,11,0,education,0.0927,0.1757,Medium
55,76082.7,1.1,10793.95,718,5964.86,6,0,other,0.0784,0.1419,Low
29,51938.1,2.6,8849.05,639,6145.99,11,1,business,0.1183,0.1704,Medium
58,23431.56,3.4,10699.49,753,4894.81,9,0,debt_consolidation,0.2089,0.4566,Low
50,78134.08,1.2,14532.17,662,8511.57,12,0,business,0.1089,0.186,Medium
64,49381.54,11.9,10131.83,602,5610.61,13,0,other,0.1136,0.2052,Low
54,19014.72,6.3,12445.84,805,6192.2,1,0,debt_consolidation,0.3256,0.6545,Medium
52,57228.51,1.7,8805.8,587,6753.44,13,0,debt_consolidation,0.118,0.1539,Medium
23,59430.45,0.7,11553.19,623,8112.65,12,0,home_improvement,0.1365,0.1944,Medium
23,40976.75,1.7,23949.74,676,9521.73,7,1,debt_consolidation,0.2324,0.5845,Medium
48,44403.86,4.9,10128.78,531,4622.76,12,1,home_improvement,0.1041,0.2281,Medium
64,36401.58,8.8,34093.07,666,7594.44,3,0,debt_consolidation,0.2086,0.9366,Medium
35,60358.88,3.5,23928.64,602,12414.21,9,0,business,0.2057,0.3964,Medium
61,52574.98,0.5,21868.36,831,2366.81,1,0,debt_consolidation,0.045,0.4159,Low
43,31128.7,1.4,13419.09,631,4766.75,13,0,debt_consolidation,0.1531,0.4311,Low
60,110082.49,2.1,7550.64,570,3760.19,12,1,other,0.0342,0.0686,High
31,35140.11,5.1,14176.65,678,13495.4,1,0,education,0.384,0.4034,Medium
52,12666.81,1.4,38381.07,658,1806.01,10,0,education,0.1426,3.0298,High
56,38741.35,1.3,8143.1,715,2914.73,14,0,business,0.0752,0.2102,Low
53,82081.57,1.7,15935.47,581,13547.5,9,0,debt_consolidation,0.165,0.1941,Low
44,44211.22,4.5,7748.84,773,5585.67,0,0,home_improvement,0.1263,0.1753,Low
59,21646.74,3.4,10491.19,679,7001.24,9,1,debt_consolidation,0.3234,0.4846,Medium
54,29317.92,9.2,15994.55,592,4117.57,7,0,debt_consolidation,0.1404,0.5455,Medium
48,28552.7,6.0,16624.15,659,6707.16,10,0,medical,0.2349,0.5822,High
57,36767.03,5.5,14332.77,701,4590.47,7,1,medical,0.1248,0.3898,Medium
27,43008.26,0.8,19223.54,690,2061.51,5,0,debt_consolidation,0.0479,0.447,Low
24,62750.84,0.3,17546.93,553,15610.03,1,0,home_improvement,0.2488,0.2796,Medium
57,52272.17,3.6,10973.79,495,5100.19,2,0,other,0.0976,0.2099,Medium
21,53540.94,0.4,20619.7,541,5942.61,8,0,business,0.111,0.3851,Low
21,119333.4,2.3,7479.37,667,3944.65,6,0,medical,0.0331,0.0627,Low
40,75388.85,0.1,11440.58,680,16735.96,13,0,business,0.222,0.1518,Medium
39,72142.77,1.0,10110.92,437,7749.27,11,0,home_improvement,0.1074,0.1401,Low
49,19799.64,0.6,16703.86,673,4047.11,12,0,education,0.2044,0.8436,High
30,33661.07,8.1,3209.01,591,6060.59,4,0,home_improvement,0.18,0.0953,Low
38,22059.27,2.1,10512.78,553,2390.8,4,0,business,0.1084,0.4765,Medium
48,33372.04,0.4,17570.32,600,4601.88,6,0,business,0.1379,0.5265,High
55,72942.98,1.5,58805.13,654,3336.8,0,0,education,0.0457,0.8062,Medium
63,40279.01,5.7,13764.38,643,1600.18,0,0,debt_consolidation,0.0397,0.3417,High
51,83802.72,6.8,6979.77,471,5447.14,2,0,education,0.065,0.0833,High
47,69325.47,0.6,20022.89,766,3639.89,8,0,business,0.0525,0.2888,Low
31,50273.15,7.5,8882.53,702,16087.24,7,0,other,0.32,0.1767,Low
58,84797.66,2.3,5915.08,662,1505.97,11,0,home_improvement,0.0178,0.0698,Low
25,96974.95,5.7,14907.31,513,3490.5,2,1,medical,0.036,0.1537,Medium
28,61524.68,5.6,29541.63,584,6115.69,14,0,debt_consolidation,0.0994,0.4802,Medium
54,54994.23,7.9,8258.14,645,10131.29,11,0,debt_consolidation,0.1842,0.1502,Medium
32,67284.45,6.0,11768.14,712,3440.14,7,0,debt_consolidation,0.0511,0.1749,Low
58,24262.97,0.2,20245.93,736,30851.83,3,0,debt_consolidation,1.2715,0.8344,High
21,46222.14,3.7,24677.04,850,3616.52,6,1,home_improvement,0.0782,0.5339,High
51,48436.3,0.9,31436.86,662,2193.94,13,0,business,0.0453,0.649,Low
24,40766.99,17.5,8792.46,598,4457.83,1,0,debt_consolidation,0.1093,0.2157,Medium
25,33032.66,1.5,12393.27,710,21012.11,4,0,debt_consolidation,0.6361,0.3752,Medium
50,80742.68,2.7,3634.68,571,11221.43,11,0,education,0.139,0.045,High
44,53371.34,1.1,10542.68,679,19604.76,4,0,education,0.3673,0.1975,Low
23,55853.94,0.7,7121.12,822,15309.36,10,0,business,0.2741,0.1275,Low
31,99936.48,4.6,14534.87,625,21937.41,4,0,education,0.2195,0.1454,Medium
24,44459.58,3.4,22730.03,599,4994.51,8,0,education,0.1123,0.5112,High
46,40360.64,2.3,20214.29,539,22089.12,12,0,debt_consolidation,0.5473,0.5008,High
47,96823.65,0.4,6662.19,662,6965.19,8,0,business,0.0719,0.0688,Low
63,23263.25,6.7,10519.68,530,8435.9,1,0,education,0.3626,0.4522,Medium
47,50291.71,0.0,17617.86,562,15623.59,9,0,education,0.3107,0.3503,High
62,33900.29,3.1,14400.37,542,32181.74,11,0,home_improvement,0.9493,0.4248,High
26,56745.95,5.0,8759.52,734,19154.71,8,0,home_improvement,0.3375,0.1544,Low
35,65250.07,2.8,16726.99,637,1766.35,0,0,debt_consolidation,0.0271,0.2563,Low
50,67090.34,0.7,21156.13,759,5079.99,4,0,home_improvement,0.0757,0.3153,Low
62,81888.97,7.5,11923.36,667,4984.23,14,0,education,0.0609,0.1456,Low
57,43206.07,2.0,7374.35,614,2178.82,9,0,home_improvement,0.0504,0.1707,Medium
57,44573.26,0.7,16753.85,700,1967.18,0,0,business,0.0441,0.3759,Low
62,63786.77,4.0,7962.77,701,3233.32,2,0,other,0.0507,0.1248,Low
57,76400.98,0.1,29537.26,746,8812.25,9,0,debt_consolidation,0.1153,0.3866,Low
55,25587.21,2.0,2745.54,579,9596.19,11,0,education,0.375,0.1073,Low
43,57357.6,6.9,10993.69,651,3835.84,11,0,education,0.0669,0.1917,Low
26,40230.39,12.2,7830.94,557,1070.76,5,0,business,0.0266,0.1946,Medium
24,51204.17,4.5,20483.41,669,5628.09,9,0,debt_consolidation,0.1099,0.4,Medium
38,41013.46,1.2,31569.73,434,17934.23,8,0,home_improvement,0.4373,0.7697,High
29,34153.72,1.2,9022.24,571,2824.63,3,0,home_improvement,0.0827,0.2642,Low
49,29458.52,4.6,7610.61,589,17577.09,1,0,education,0.5967,0.2583,Medium
33,45455.45,2.6,19660.21,648,4750.21,4,0,business,0.1045,0.4325,Low
37,58641.79,1.0,4565.26,732,11327.18,0,0,home_improvement,0.1932,0.0778,Low
52,36260.93,7.7,15489.2,511,12494.28,9,0,business,0.3446,0.4271,High
42,88867.87,1.1,13091.83,718,3206.06,12,0,debt_consolidation,0.0361,0.1473,Medium
24,167581.52,1.9,11715.64,677,4561.33,6,1,business,0.0272,0.0699,Low
25,60268.36,0.3,8076.21,683,8085.47,10,0,other,0.1342,0.134,Low
57,48020.45,6.0,3764.46,628,4941.95,14,0,debt_consolidation,0.1029,0.0784,Low
61,31065.98,1.6,23963.89,708,1791.76,11,0,debt_consolidation,0.0577,0.7714,Medium
33,58984.45,1.3,19489.68,635,5463.65,1,0,other,0.0926,0.3304,Medium
54,102599.45,1.8,12904.0,579,7558.98,14,0,home_improvement,0.0737,0.1258,Medium
42,129863.57,10.4,15332.14,634,3613.67,7,0,education,0.0278,0.1181,Low
43,98526.21,3.6,12204.76,659,1781.47,13,0,home_improvement,0.0181,0.1239,Low
23,74731.34,0.9,24084.45,567,20756.91,8,1,medical,0.2778,0.3223,Medium
62,60180.08,7.4,11858.02,456,7625.59,12,0,home_improvement,0.1267,0.197,Medium
54,29017.84,1.2,13108.54,703,12431.99,1,0,home_improvement,0.4284,0.4517,Medium
52,46636.52,2.7,14594.23,590,5775.4,1,0,medical,0.1238,0.3129,Low
41,44005.11,4.2,10604.74,446,5176.29,12,0,debt_consolidation,0.1176,0.241,High
64,46788.75,4.4,12636.53,659,13161.78,13,0,education,0.2813,0.2701,High
41,34210.71,0.4,12345.16,637,4510.64,9,0,home_improvement,0.1318,0.3608,Low
64,71605.77,9.1,8856.29,541,3996.09,8,1,home_improvement,0.0558,0.1237,High
31,42747.57,3.3,7542.22,598,11241.49,11,1,business,0.263,0.1764,High
59,41047.48,22.7,11865.95,727,14435.71,7,0,education,0.3517,0.2891,Medium
24,34268.67,6.3,11140.15,524,3329.63,6,0,home_improvement,0.0972,0.3251,High
21,55058.42,24.5,25212.45,606,9679.83,0,1,debt_consolidation,0.1758,0.4579,Medium
48,103609.81,3.0,7500.24,685,1728.6,8,0,education,0.0167,0.0724,Low
44,48771.23,0.8,9558.9,527,4463.89,3,0,medical,0.0915,0.196,Medium
55,56436.44,6.5,14923.83,796,7468.17,5,0,other,0.1323,0.2644,Low
33,129008.08,7.5,16965.18,719,3081.14,1,0,debt_consolidation,0.0239,0.1315,Low
54,89475.6,9.6,12290.09,787,7816.15,12,0,education,0.0874,0.1374,Low
31,65766.93,1.8,21831.14,648,6919.18,4,0,debt_consolidation,0.1052,0.3319,Low
56,64398.71,3.6,12548.09,772,7734.86,10,0,debt_consolidation,0.1201,0.1948,Medium
37,36259.88,9.7,7934.72,660,10474.24,0,0,debt_consolidation,0.2889,0.2188,Medium
55,34529.36,10.0,13049.0,627,4449.87,11,0,debt_consolidation,0.1289,0.3779,Low
38,52612.24,0.1,20891.79,560,2341.79,4,0,other,0.0445,0.3971,Low
60,53283.77,5.6,23943.14,671,3161.38,11,0,business,0.0593,0.4493,Low
42,32052.09,4.6,23545.76,596,3602.25,7,0,business,0.1124,0.7346,High
44,69678.59,0.4,15006.07,593,27084.95,4,0,medical,0.3887,0.2154,High
39,42674.25,13.3,15639.56,661,1597.29,6,0,medical,0.0374,0.3665,Medium
57,86134.07,2.9,19032.05,789,2479.34,11,0,debt_consolidation,0.0288,0.221,Low
59,47681.36,5.6,5029.03,755,2496.48,7,0,education,0.0524,0.1055,Low
41,45617.19,10.7,8685.1,715,17321.14,0,0,home_improvement,0.3797,0.1904,Low
28,30678.02,0.7,15981.85,646,6027.57,7,0,home_improvement,0.1965,0.5209,Medium
48,32405.07,9.7,7394.34,657,2042.0,10,0,education,0.063,0.2282,Medium
25,94739.11,6.4,26659.09,767,5266.13,10,0,home_improvement,0.0556,0.2814,Low
37,56077.05,9.2,25349.06,690,3808.55,0,0,other,0.0679,0.452,Medium
57,59554.74,3.4,9651.15,437,3580.45,7,0,medical,0.0601,0.1621,High
56,109133.1,0.2,7755.55,846,8016.15,14,0,debt_consolidation,0.0735,0.0711,Medium
39,25367.03,5.6,17292.23,648,3462.18,13,0,business,0.1365,0.6817,Medium
47,68571.2,2.3,6208.92,654,7975.51,14,1,education,0.1163,0.0905,Medium
54,22160.23,2.6,14528.67,666,8275.14,13,0,home_improvement,0.3734,0.6556,High
31,39386.33,2.9,72995.82,655,2392.9,9,1,debt_consolidation,0.0608,1.8533,Medium
32,27652.09,3.4,7295.01,634,3262.4,1,0,home_improvement,0.118,0.2638,High
41,75304.51,5.4,8355.84,530,4728.13,3,0,debt_consolidation,0.0628,0.111,Medium
31,19055.99,6.5,9223.62,549,28503.45,0,1,debt_consolidation,1.4957,0.484,Medium
59,43693.64,7.5,7794.72,787,4726.46,0,0,education,0.1082,0.1784,Low
48,27463.55,5.6,8035.42,592,6300.25,3,0,home_improvement,0.2294,0.2926,Low
25,31971.36,8.1,37473.69,738,4149.65,14,0,home_improvement,0.1298,1.1721,Medium
37,34532.09,0.7,13872.13,673,2973.94,11,0,business,0.0861,0.4017,Low
40,94802.61,9.1,23054.37,465,2769.49,12,0,home_improvement,0.0292,0.2432,High
61,41455.89,2.4,27437.34,549,6041.03,10,0,home_improvement,0.1457,0.6618,Medium
32,116269.13,3.8,4525.64,585,7742.19,12,1,education,0.0666,0.0389,Medium
26,129093.62,2.8,8420.4,707,964.17,3,0,business,0.0075,0.0652,Low
37,141046.08,3.2,7753.34,630,6467.9,3,0,medical,0.0459,0.055,Low
39,47601.36,1.7,2753.43,708,7160.03,7,0,education,0.1504,0.0578,Low
46,54457.65,0.9,17250.07,627,15461.6,3,0,home_improvement,0.2839,0.3168,Medium
64,59217.82,0.6,16029.94,700,11127.61,14,1,other,0.1879,0.2707,Low
64,40792.6,3.0,29537.24,565,3306.77,4,0,home_improvement,0.0811,0.7241,High
52,60608.18,0.7,17755.89,611,2198.64,10,0,other,0.0363,0.293,Medium
26,30711.79,1.4,2794.59,675,3069.35,11,0,medical,0.0999,0.091,Low
56,19192.26,0.7,8767.32,626,6939.66,9,0,home_improvement,0.3616,0.4568,Medium
58,70057.2,0.6,9156.61,652,3748.67,10,0,debt_consolidation,0.0535,0.1307,Medium
31,41155.52,10.7,18157.11,654,7391.46,1,0,debt_consolidation,0.1796,0.4412,Medium
53,30081.15,5.6,2719.79,713,21139.04,9,0,home_improvement,0.7027,0.0904,High
44,32044.69,12.9,18515.77,654,10676.0,10,0,medical,0.3331,0.5778,Medium
43,104564.66,5.2,21436.73,641,6640.81,9,1,debt_consolidation,0.0635,0.205,Medium
35,61824.59,9.3,11497.54,676,4846.45,8,0,other,0.0784,0.186,Low
47,22898.95,4.1,8271.69,693,4464.06,6,1,other,0.1949,0.3612,High
31,27078.81,3.1,27089.34,660,9431.98,12,0,home_improvement,0.3483,1.0004,High
37,42364.25,3.8,5824.68,562,4964.74,11,0,debt_consolidation,0.1172,0.1375,Low
34,62205.87,1.9,26567.01,716,7544.82,0,0,education,0.1213,0.4271,Low
47,32948.94,5.4,23043.79,701,2765.01,3,0,home_improvement,0.0839,0.6994,Medium
38,44959.92,11.4,18702.51,624,5049.17,6,0,home_improvement,0.1123,0.416,Low
48,51910.46,7.6,39739.28,692,5132.41,11,0,debt_consolidation,0.0989,0.7655,Low
24,52450.98,3.1,13496.14,802,7171.43,8,0,other,0.1367,0.2573,Low
27,14800.73,15.4,19391.74,629,1730.13,3,0,medical,0.1169,1.3101,Medium
55,54765.77,21.1,12979.91,647,7639.61,6,0,debt_consolidation,0.1395,0.237,Low
29,20610.79,3.4,11017.89,671,5264.17,7,0,debt_consolidation,0.2554,0.5345,Medium
28,42480.51,10.0,18346.66,850,1372.45,7,0,home_improvement,0.0323,0.4319,Low
37,38150.44,0.0,11136.68,665,12204.55,2,0,debt_consolidation,0.3199,0.2919,Low
37,28584.89,0.3,13870.77,599,2047.97,12,0,home_improvement,0.0716,0.4852,Medium
53,74726.02,0.1,13916.01,546,3835.26,14,0,education,0.0513,0.1862,Low
52,27945.52,7.4,10478.7,622,994.6,14,0,home_improvement,0.0356,0.375,Low
28,37742.1,0.4,20759.99,646,8621.71,14,1,business,0.2284,0.55,Medium
39,76066.79,0.1,4615.78,699,5618.43,11,0,business,0.0739,0.0607,High
